id,code,title
671,2199,"Yagoona"
672,2199,"Yagoona West"
673,2200,"Bankstown"
674,2200,"Bankstown North"
675,2200,"Bankstown Square"
676,2200,"Condell Park"
677,2200,"Manahan"
678,2200,"Mount Lewis"
679,2203,"Dulwich Hill"
680,2204,"Marrickville"
681,2204,"Marrickville Metro"
682,2204,"Marrickville South"
683,2205,"Arncliffe"
684,2205,"Turrella"
685,2205,"Wolli Creek"
686,2206,"Clemton Park"
687,2206,"Earlwood"
688,2206,"Undercliffe"
689,2207,"Bardwell Park"
690,2207,"Bardwell Valley"
691,2207,"Bexley"
692,2207,"Bexley North"
693,2207,"Bexley South"
694,2208,"Kingsgrove"
695,2208,"Kingsway West"
696,2209,"Beverly Hills"
697,2209,"Narwee"
698,2210,"Lugarno"
699,2210,"Peakhurst"
700,2210,"Peakhurst Heights"
701,2210,"Riverwood"
702,2211,"Padstow"
703,2211,"Padstow Heights"
704,2212,"Revesby"
705,2212,"Revesby Heights"
706,2212,"Revesby North"
707,2213,"East Hills"
708,2213,"Panania"
709,2213,"Picnic Point"
710,2214,"Milperra"
711,2216,"Banksia"
712,2216,"Brighton-Le-Sands"
713,2216,"Kyeemagh"
714,2216,"Rockdale"
715,2217,"Beverley Park"
716,2217,"Kogarah"
717,2217,"Kogarah Bay"
718,2217,"Monterey"
719,2217,"Ramsgate"
720,2217,"Ramsgate Beach"
721,2218,"Allawah"
722,2218,"Carlton"
723,2219,"Dolls Point"
724,2219,"Sandringham"
725,2219,"Sans Souci"
726,2220,"Hurstville"
727,2220,"Hurstville Grove"
728,2220,"Hurstville Westfield"
729,2221,"Blakehurst"
730,2221,"Carss Park"
731,2221,"Connells Point"
732,2221,"Kyle Bay"
733,2221,"South Hurstville"
734,2222,"Penshurst"
735,2223,"Mortdale"
736,2223,"Oatley"
737,2224,"Kangaroo Point"
738,2224,"Sylvania"
739,2224,"Sylvania Southgate"
740,2224,"Sylvania Waters"
741,2225,"Caravan Head"
742,2225,"Oyster Bay"
743,2226,"Bonnet Bay"
744,2226,"Como"
745,2226,"Jannali"
746,2227,"Gymea"
747,2227,"Gymea Bay"
748,2228,"Miranda"
749,2228,"Yowie Bay"
750,2229,"Caringbah"
751,2229,"Dolans Bay"
752,2229,"Lilli Pilli"
753,2229,"Port Hacking"
754,2229,"Taren Point"
755,2229,"Warumbul"
756,2230,"Bundeena"
757,2230,"Burraneer"
758,2230,"Cronulla"
759,2230,"Maianbar"
760,2230,"Woolooware"
761,2231,"Kurnell"
762,2232,"Audley"
763,2232,"Garie"
764,2232,"Grays Point"
765,2232,"Kareela"
766,2232,"Kirrawee"
767,2232,"Loftus"
768,2232,"Sutherland"
769,2232,"Woronora"
770,2233,"Engadine"
771,2233,"Heathcote"
772,2233,"Waterfall"
773,2233,"Woronora Heights"
774,2233,"Yarrawarrah"
775,2234,"Alfords Point"
776,2234,"Bangor"
